name,value,year,lastValue,rank
Honda,15788,2005,15696.6,17
J.P. Morgan,15749,2017,15596.8,30
American Express,15702,2012,15589,23
SAP,15641,2012,15531.1,24
Budweiser,15627,2018,15601.8,33
Honda,15625,2003,15568.9,16
Apple,15433,2009,15262.1,18
Budweiser,15375,2017,15347.4,31
H&M,15375,2009,15221.5,19
UPS,15333,2016,15272,29
Gillette,15298,2001,15504,15
Pampers,15267,2015,15148.1,28
Honda,15244,2000,15244,17
Nike,15126,2012,15066.2,25
BMW,15106,2003,15037.9,17
Budweiser,15099,2016,14983.4,30
Honda,15064,2002,15021.4,15
Sony,15005,2001,15145.4,16
American Express,14971,2009,15667.9,20
Gillette,14959,2002,14992.9,16
Samsung,14956,2005,14715.7,18
Oracle,14881,2010,14762.8,20
Honda,14874,2004,14949.1,16
UPS,14723,2015,14697.7,29
Honda,14638,2001,14698.6,17
Pepsi,14590,2011,14537.1,21
American Express,14572,2011,14509.2,22
SAP,14542,2011,14363.4,23
Nike,14528,2011,14445.8,24
Ford,14475,2004,14734.1,17
UPS,14470,2014,14399.3,27
BMW,14425,2002,14368.3,17
eBay,14358,2014,14238.4,28
Facebook,14349,2014,13687.3,29
J.P. Morgan,14227,2016,14179.2,31
Accenture,14214,2018,14039.7,34
Herm??s,14210,2017,14072.3,32
Pampers,14078,2014,13973.7,30
Pepsi,14061,2010,14025.5,21
Zara,14031,2015,13840.5,30
Ford,13995,2018,13959.8,35
American Express,13944,2010,14046.7,22
Budweiser,13943,2015,13851.1,31
eBay,13940,2015,13981.8,32
Sony,13899,2002,14009.6,18
BMW,13858,2001,13769.1,18
H&M,13840,2008,13840,20
Oracle,13831,2008,13692.7,21
IKEA,13818,2013,13717,26
UPS,13763,2013,13695.5,27
J.P. Morgan,13749,2015,13619.7,33
Apple,13724,2008,13455.3,22
Volkswagen,13716,2014,13456.4,31
Nike,13706,2010,13653.3,23
Pepsi,13706,2009,13660.3,21
Oracle,13699,2009,13712.2,22
NESCAF??,13680,2000,13680,18
Ford,13643,2017,13574.9,33
Sony,13583,2008,13515.4,23
HSBC,13563,2007,13368.9,20
Hyundai,13535,2018,13500.8,36
Kellogg's,13442,2014,13396.5,32
NESCAF??,13317,2009,13290.9,23
NESCAF??,13250,2001,13293,19
Pepsi,13249,2008,13212.9,24
eBay,13224,2017,13215.2,34
Hyundai,13193,2017,13128.4,35
Nike,13179,2009,13128.3,24
eBay,13162,2013,12940.5,28
Ford,13159,2005,13290.6,19
Sony,13153,2003,13227.6,18
HSBC,13143,2008,13185,25
HSBC,13142,2014,13046.1,33
eBay,13136,2016,13216.4,32
UPS,13088,2012,13032.8,26
NESCAF??,13056,2008,13045.4,26
NESCAF??,13053,2018,13013.8,37
Pampers,13035,2013,12861.1,29
Budweiser,13024,2014,12983,34
eBay,13017,2018,13037.7,38
Kellogg's,12987,2013,12895.1,30
BMW,12969,2000,12969,19
Ford,12962,2016,12823.6,33
NESCAF??,12950,2007,12905.7,21
Gucci,12942,2018,12644.7,39
Sony,12907,2007,12785.8,22
Pepsi,12888,2007,12868.2,23
NESCAF??,12843,2002,12883.7,19
Herm??s,12833,2016,12644.1,34
IKEA,12808,2012,12713.5,27
Sony,12759,2004,12798.4,18
Amazon,12758,2011,12448.7,25
SAP,12756,2010,12691,24
NESCAF??,12753,2010,12809.4,25
Pepsi,12690,2006,12660.9,19
Nike,12672,2008,12605.1,27
NESCAF??,12661,2017,12646.6,36
Kellogg's,12637,2015,12717.5,34
UPS,12621,2008,12560.2,28
Budweiser,12614,2013,12539.8,31
Samsung,12553,2004,12382.3,19
Hyundai,12547,2016,12421.6,35
Volkswagen,12545,2015,12662.1,35
UPS,12536,2011,12465,26
NESCAF??,12517,2016,12491,36
NESCAF??,12507,2006,12480.4,20
IKEA,12487,2010,12438.7,26
Accenture,12471,2017,12427.2,37
J.P. Morgan,12456,2014,12356,35
Oracle,12448,2007,12349.1,24
J.P. Morgan,12437,2011,12424.7,27
Pepsi,12399,2005,12365.7,20
Google,12376,2006,11984.5,21
NESCAF??,12336,2003,12386.7,19
J.P. Morgan,12314,2010,12037.6,27
NESCAF??,12257,2015,12171.9,36
Budweiser,12252,2010,12210.1,28
Budweiser,12252,2011,12252,28
NESCAF??,12241,2005,12206.1,21
SAP,12228,2008,12090.2,29
Oracle,12224,2001,12224,20
Nissan,12213,2018,12145.1,40
Volkswagen,12201,2018,12133.1,41
Audi,12187,2018,12170.6,42
HSBC,12183,2013,12102.5,32
Zara,12126,2014,11995.5,36
NESCAF??,12115,2011,12178.8,29
SAP,12106,2009,12118.2,25
Philips,12104,2018,12045.5,43
Kellogg's,12068,2012,11998.4,28
Pepsi,12066,2004,12037.1,20
Accenture,12033,2016,11909.7,37
Canon,12029,2012,11997.6,29
Audi,12023,2017,12000.6,38
UPS,12013,2007,11882.9,25
IKEA,12004,2009,11894.9,26
Nike,12003,2007,11892.4,26
Sony,11953,2009,12116,27
Budweiser,11894,2003,11839.5,20
NESCAF??,11892,2004,11936.4,21
Budweiser,11878,2005,11874.8,22
Budweiser,11872,2012,11910,30
IKEA,11863,2011,11925.4,30
Budweiser,11846,2004,11850.8,22
Budweiser,11833,2009,11793.5,28
UPS,11826,2010,11802.8,29
Audi,11799,2016,11651.9,38
HSBC,11792,2011,11768.9,31
Pepsi,11777,2003,11238.7,21
Goldman Sachs,11769,2018,11678.5,44
Canon,11715,2011,11692,32
Kellogg's,11711,2016,11803.6,39
Canon,11702,2014,11630.7,37
Sony,11695,2006,11600.9,22
Budweiser,11662,2006,11683.6,23
HSBC,11656,2015,11804.6,37
Budweiser,11652,2007,11653,27
HSBC,11622,2006,11502.7,24
UPS,11594,2009,11696.7,29
Ford,11578,2015,11507.8,38
Citi,11577,2018,11479.2,45
HSBC,11561,2010,11455.9,30
Nissan,11534,2017,11487.2,39
Volkswagen,11522,2017,11513.4,40
Philips,11519,2017,11500.7,41
Oracle,11510,2002,11581.4,20
Morgan Stanley,11498,2004,11417.3,23
Canon,11485,2010,11380.6,31
J.P. Morgan,11471,2012,11567.6,31
Oracle,11459,2006,11401.8,25
J.P. Morgan,11456,2013,11457.5,33
Budweiser,11438,2008,11459.4,30
Volkswagen,11436,2016,11546.9,40
J.P. Morgan,11433,2007,11310.2,28
NESCAF??,11406,2014,11330.5,38
HSBC,11378,2012,11419.4,32
Kellogg's,11372,2011,11338.9,33
Sony,11356,2010,11415.7,32
Budweiser,11349,2002,11297.9,21
Philips,11336,2016,11142.4,41
Pampers,11296,2012,NA,33
Hyundai,11293,2015,11204.6,39
Canon,11278,2015,11320.4,40
Oracle,11263,2003,11287.7,22
HSBC,11208,2018,11140.6,46
Morgan Stanley,11205,2002,11205,22
Volkswagen,11120,2013,10933.2,34
AXA,11118,2018,11113.5,47
L'Or??al,11102,2018,11059.2,48
NESCAF??,11089,2012,11191.6,34
Canon,11081,2016,11100.7,42
AXA,11073,2017,11023.6,42
Nissan,11066,2016,10867.6,43
Ford,11056,2006,11266.3,26
Kellogg's,11041,2010,10979.7,33
Apple,11037,2007,10846.3,29
Hewlett Packard Enterprise,11027,2016,11027,44
Canon,10989,2013,11093,35
Kellogg's,10972,2017,11045.9,43
eBay,10947,2012,10832.8,35
Herm??s,10944,2015,10747.3,41
Oracle,10935,2004,10967.8,24
L'Or??al,10930,2016,10916.8,45
